Sample	Lowest ID	Broad group	Stage	Count	Fraction split	Representative count	Density in water column (ind./m3)
BIOS19-D3-Trawl1	Calanus sp.	Copepod	Adult	5	32	160	90
BIOS19-D3-Trawl1	Thunnus sp.	Actinopteri	Larva	42	2	84	47
BIOS19-D3-Trawl1	Libinia sp.	Decapod	Megalopa	2	32	64	36
BIOS19-D3-Trawl1	Gastropoda	Benthic snail	Veliger	2	32	64	36
BIOS19-D3-Trawl1	Copilia sp.	Copepod	Adult	1	32	32	18
BIOS19-D3-Trawl1	Nanomia sp.	Siphonophore	Polygastric	1	32	32	18
BIOS19-D3-Trawl1	Isopoda	Isopod	Juvenile/Adult	1	32	32	18
BIOS19-D3-Trawl1	Centropages sp.	Copepod	Adult	1	32	32	18
BIOS19-D3-Trawl1	Thiidae	Decapod	Zoea	1	32	32	18
BIOS19-D3-Trawl1	Enneagonum hyalinum	Siphonophore	Polygastric	1	32	32	18
BIOS19-D3-Trawl1	Candacia cf. ethiopica	Copepod	Adult	1	32	32	18
BIOS19-D3-Trawl1	Eurynome sp.	Decapod	Zoea	1	32	32	18
BIOS19-D3-Trawl1	Bassia bassensis	Siphonophore	Polygastric	1	32	32	18
BIOS19-D3-Trawl1	Thunnus sp.	Actinopteri	Egg	2	2	4	2
BIOS19-D3-Trawl1	Bilateria (mystery ciliated grooved larva)	Animal	Larva	1	2	2	1
BIOS19-D3-Trawl1	Scombriformes	Actinopteri	Larva	1	2	2	1
BIOS19-D3-Trawl1	Candacia cf. ethiopica	Copepod	Adult	1	2	2	1
BIOS19-D3-Trawl1	Lysmata sp.	Decapod	Zoea	1	2	2	1
BIOS19-D3-Trawl1	Libinia sp.	Decapod	Megalopa	1	2	2	1
BIOS19-D4-Trawl1	Temora sp.	Copepod	Adult	670	32	21440	
BIOS19-D4-Trawl1	Penilia avirostris	Cladoceran	Adult	86	32	2752	
BIOS19-D4-Trawl1	Actinopteri (Pomatomus, Scombridae, Sciaenidae)	Actinopteri	Egg	59	32	1888	
BIOS19-D4-Trawl1	Majidae	Decapod	Zoea	14	32	448	
BIOS19-D4-Trawl1	Actinopteri (Pomatomus, Scombridae, Gobiidae, Sciaenidae)	Actinopteri	Larva	11	32	352	
BIOS19-D4-Trawl1	Alpheidae	Decapod	Early zoea	10	32	320	
BIOS19-D4-Trawl1	Euchaeta sp.	Copepod	Adult	10	32	320	
BIOS19-D4-Trawl1	Pandalidae	Decapod	Zoea	10	32	320	
BIOS19-D4-Trawl1	Clupeidae	Actinopteri	Egg	9	32	288	
BIOS19-D4-Trawl1	Sagitta sp.	Chaetognath	Adult	6	32	192	
BIOS19-D4-Trawl1	Oikopleura sp.	Larvacean	Adult	4	32	128	
BIOS19-D4-Trawl1	Thiidae	Decapod	Zoea	3	32	96	
BIOS19-D4-Trawl1	Obelia sp.	Hydromedusa	Adult	2	32	64	
BIOS19-D4-Trawl1	Evadne sp.	Cladoceran	Adult	2	32	64	
BIOS19-D4-Trawl1	Hippolytidae	Decapod	Zoea	2	32	64	
BIOS19-D4-Trawl1	Liocarcinus sp.	Decapod	Zoea	2	32	64	
BIOS19-D4-Trawl1	Xanthidae	Decapod	Zoea	1	32	32	
BIOS19-D4-Trawl1	Engraulid elongate egg	Actinopteri	Egg	1	32	32	
BIOS19-D4-Trawl1	Carangidae	Actinopteri	Larva	1	32	32	
BIOS19-D4-Trawl1	Diogenes sp.	Decapod	Zoea	1	32	32	
BIOS19-D4-Trawl1	Pandalidae	Decapod	Zoea	9	2	18	
BIOS19-D4-Trawl1	Actinopteri (Clupeidae, Scombridae, Gobiidae, Sciaenidae)	Actinopteri	Larva	7	2	14	
BIOS19-D4-Trawl1	Xanthidae	Decapod	Zoea	4	2	8	
BIOS19-D4-Trawl1	Alpheidae	Decapod	Late zoea	3	2	6	
BIOS19-D4-Trawl1	Squilloidea	Stomatopod	Alima	2	2	4	
BIOS19-D4-Trawl1	Carangidae	Actinopteri	Larva	2	2	4	
BIOS19-D4-Trawl1	Engraulid elongate egg	Actinopteri	Egg	1	2	2	
BIOS19-D4-Trawl1	Anthomedusae	Hydromedusa	Adult	1	2	2	
BIOS19-D1-Trawl1	Euchaeta sp.	Copepod	Adult	676	32	21632	8320.0
BIOS19-D1-Trawl1	Temora sp.	Copepod	Adult	30	32	960	369.2
BIOS19-D1-Trawl1	Sagittoidea (short stubby)	Chaetognath	Adult	30	32	960	369.2
BIOS19-D1-Trawl1	Bilateria (mystery oval egg)	Animal	Egg	19	32	608	233.8
BIOS19-D1-Trawl1	Corycaeus sp.	Copepod	Adult	14	32	448	172.3
BIOS19-D1-Trawl1	Calanoida	Copepod	Adult	11	32	352	135.4
BIOS19-D1-Trawl1	Majoidea	Decapod	Zoea	9	32	288	110.8
BIOS19-D1-Trawl1	Crangon sp.	Decapod	Zoea	8	32	256	98.5
BIOS19-D1-Trawl1	Oikopleura sp.	Appendicularia	Adult	5	32	160	61.5
BIOS19-D1-Trawl1	Galatheidae (Anomura)	Decapod	Zoea	4	32	128	49.2
BIOS19-D1-Trawl1	Oithona sp.	Copepod	Adult	3	32	96	36.9
BIOS19-D1-Trawl1	Candacia cf. ethiopica	Copepod	Adult	2	32	64	24.6
BIOS19-D1-Trawl1	Pandalidae	Decapod	Zoea	1	32	32	12.3
BIOS19-D1-Trawl1	Oncaea sp.	Copepod	Adult	1	32	32	12.3
BIOS19-D1-Trawl1	Podon sp.	Cladoceran	Adult	1	32	32	12.3
BIOS19-D1-Trawl1	Thunnus sp.	Actinopteri	Egg	1	32	32	12.3
BIOS19-D1-Trawl1	Alpheidae	Decapod	Zoea/Decapodid	12	1	12	4.6
BIOS19-D1-Trawl1	Candacia cf. ethiopica	Copepod	Adult	5	1	5	1.9
BIOS19-D1-Trawl1	Libinia sp.	Decapod	Megalopa	5	1	5	1.9
BIOS19-D1-Trawl1	Thunnus sp.	Actinopteri	Larva (stage 2)	3	1	3	1.2
BIOS19-D1-Trawl1	Pandalidae	Decapod	Zoea	3	1	3	1.2
BIOS19-D1-Trawl1	Hyperiidae	Amphipod	Adult	2	1	2	0.8
BIOS19-D1-Trawl1	Thunnus sp.	Actinopteri	Larva (stage 1)	2	1	2	0.8
BIOS19-D1-Trawl1	Pseudosagitta sp.	Chaetognath	Adult	2	1	2	0.8
BIOS19-D1-Trawl1	Squilloidea	Stomatopod	Alima	1	1	1	0.4
BIOS19-D1-Trawl1	Gammaridea (Hyachelia or Polycheria)	Amphipod	Adult	1	1	1	0.4
BIOS19-D1-Trawl1	Oithona sp.	Copepod	Adult	1	1	1	0.4
BIOS19-D1-Trawl1	Thunnus sp.	Actinopteri	Egg	1	1	1	0.4
BIOS19-D1-Trawl1	Rhincalanus cornutus (female)	Copepod	Adult	1	1	1	0.4
BIOS19-D1-Trawl1	Euchaeta sp. (large)	Copepod	Adult	1	1	1	0.4
BIOS19-D2-Trawl1	Temora sp.	Copepod	Adult	1680	32	53760	28102
BIOS19-D2-Trawl1	Sagittoidea	Chaetognath	Adult	58	32	1856	970
BIOS19-D2-Trawl1	Libinia sp.	Decapod	Zoea	54	32	1728	903
BIOS19-D2-Trawl1	Penilia avirostris	Cladoceran	Adult	33	32	1056	552
BIOS19-D2-Trawl1	Pandalidae	Decapod	Zoea	32	32	1024	535
BIOS19-D2-Trawl1	Alpheidae	Decapod	Early zoea	28	32	896	468
BIOS19-D2-Trawl1	Scombridae	Actinopteri	Egg	21	32	672	351
BIOS19-D2-Trawl1	Majidae	Decapod	Zoea	17	32	544	284
BIOS19-D2-Trawl1	Oikopleura sp.	Larvacean	Adult	14	32	448	234
BIOS19-D2-Trawl1	Hippolytidae	Decapod	Zoea	7	32	224	117
BIOS19-D2-Trawl1	Euchaeta sp.	Copepod	Adult	6	32	192	100
BIOS19-D2-Trawl1	Anomura (c.f. Munida sp.)	Decapod	Zoea	3	32	96	50
BIOS19-D2-Trawl1	Actinopteri	Actinopteri	Hatchling	2	32	64	33
BIOS19-D2-Trawl1	Alpheidae	Decapod	Late zoea	21	2	42	22
BIOS19-D2-Trawl1	Evadne sp.	Cladoceran	Adult	1	32	32	17
BIOS19-D2-Trawl1	Panopeidae	Decapod	Zoea	1	32	32	17
BIOS19-D2-Trawl1	Gastropoda	Gastropod	Veliger	1	32	32	17
BIOS19-D2-Trawl1	Squilloidea	Stomatopod	Alima	6	2	12	6
BIOS19-D2-Trawl1	Metridia lucens	Copepod	Adult	4	2	8	4
BIOS19-D2-Trawl1	Scombridae	Actinopteri	Larva	3	2	6	3
BIOS19-D2-Trawl1	Scombridae	Actinopteri	Egg	3	2	6	3
BIOS19-D2-Trawl1	Libinia sp.	Decapod	Zoea	2	2	4	2
BIOS19-D2-Trawl1	Carangidae	Actinopteri	Larva	1	2	2	1
BIOS19-D2-Trawl1	Stomatopoda	Stomatopod	Antizoea	1	2	2	1
BIOS19-D2-Trawl1	Engraulidae	Actinopteri	Larva	1	2	2	1
BIOS19-D2-Trawl1	Palaemonidae	Decapod	Zoea	1	2	2	1
BIOS19-D2-Trawl1	Clupeidae	Actinopteri	Egg	1	2	2	1
BIOS19-D2-Trawl1	Libinia sp.	Decapod	Megalopa	1	2	2	1
BIOS19-D2-Trawl1	Metridia longa	Copepod	Adult	1	2	2	1
D1025-SS7	Resomia ornicephala	Siphonophore	Developing tentilla	2	1	2	
D1025-SS7	Pandeidae (Leuckartiara or Halitholus)	Hydromedusa	Adult	1	1	1	
D1025-SS7	Scina sp.	Amphipod	Adult	1	1	1	
D1025-SS7	Euchaeta sp.	Copepod	Adult	7	1	7	
D1025-SS7	Porroecia sp.	Ostracod	Adult	1	1	1	
D1025-SS7	Thalassocalyce inconstans	Ctenophore	Adult	1	1	1	
D1025-SS7	Euchirella sp.	Copepod	Adult	1	1	1	
D1025-SS7	Calanoida	Copepod	Adult	5	1	5	
D1025-SS7	Euphausidae	Krill	Metanauplius	2	1	2	
D1022-SS11	Oithona sp.	Copepod	Adult	1	1	1	
D1022-SS11	Calanoida	Copepod	Adult	8	1	8	
D1022-SS11	Salpida muscle band	Salp	Adult	1	1	1	
D1022-SS2	Euterpina acutifrons	Copepod	Adult	1	1	1	
D1022-SS2	Calanoida	Copepod	Adult	2	1	2	
D1022-SS2	Eupahusidae	Krill	Nauplius	1	1	1	
D1022-SS2	Eucalanus californicus	Copepod	Nauplius	1	1	1	
D1024-SS2	Siphonophore stem piece	Siphonophore	Polygastric	1	1	1	
D1024-SS2	Calanoida	Copepod	Adult	13	1	13	
D1024-SS2	Conchoeciini	Ostracod	Adult	1	1	1	
D1024-SS2	Leucon cf. longirostris	Cumacean	Adult	1	1	1	
D1024-SS2	Gaetanus sp. (female with 2 eggs)	Copepod	Adult	1	1	1	
D1024-SS6	Chuniphyes multidentata	Siphonophore	Adult	1	1	1	
D1024-SS6	Cyclothone cf. pallida	Copepod	Adult	1	1	1	
D1024-SS6	Pseudosagitta lyra	Actinopteri	Adult	2	1	2	
D1024-SS6	Candacia pachydactyla (male)	Copepod	Adult	1	1	1	
D1024-SS6	Calanoida	Copepod	Adult	5	1	5	
D1024-SS6	Heterorhabdus sp.	Copepod	Adult	3	1	3	
D1024-SS6	Pelagobia logicirrata	Polychaete	Adult	1	1	1	
D1024-SS6	Calanus pacificus	Copepod	Adult	1	1	1	
D1024-SS6	Metridia sp.	Copepod	Adult	1	1	1	
D1024-SS6	Trachymedusa	Hydromedusa	Juvenile	1	1	1	
D1244-MT1	Calanoida (<5mm)	Copepod	Adult+Copepodite	958	1	958	
D1244-MT1	Evadne sp.	Cladoceran	Adult	574	1	574	
D1244-MT1	Oikopleura dioica	Appendicularia	Adult	319	1	319	
D1244-MT1	Pleurobrachia bachei	Ctenophore	Adult	78	1	78	
D1244-MT1	Calanus pacificus (>5mm)	Copepod	Adult	66	1	66	
D1244-MT1	Oithona spp. (nana + similis)	Copepod	Adult	44	1	44	
D1244-MT1	Diphyinae	Siphonophore	Eudoxid	21	1	21	
D1244-MT1	Diphyinae	Siphonophore	Gonozooid	17	1	17	
D1244-MT1	Sagitta sp.	Chaetognath	Adult	13	1	13	
D1244-MT1	Engraulidae	Actinopteri	Egg	11	1	11	
D1244-MT1	Leptothecata	Hydromedusa	Medusa	10	1	10	
D1244-MT1	Ditrichocorycaeus anglicus	Copepod	Adult	9	1	9	
D1244-MT1	Muggiaea atlantica	Siphonophore	Polygastric	4	1	4	
D1244-MT1	Polychaete	Polychaete	Larva	2	1	2	
