"OTU" "Feature_name" "17nine_179_Lych_384_193_S1_L001" "17nine_180_Reso_372_205_S2_L001" "17nine_185_Barg_348_229_S4_L001" "17nine_186_Reso_336_241_S5_L001" "17nine_188_Barg_324_253_S6_L001" "17nine_189_Barg_312_265_S7_L001" "17nine_191_Marr_383_194_S9_L001" "17nine_193_Reso_371_206_S10_L001" "17nine_200_Fril_359_218_S11_L001" "17nine_201_Apol_347_230_S12_L001" "17nine_202_Apol_335_242_S13_L001" "17nine_204_Keph_311_266_S15_L001" "17nine_205_Keph_299_278_S16_L001" "17nine_206_Nano_382_195_S17_L001" "17nine_207_Unde_370_207_S18_L001" "17nine_208_Lily_358_219_S19_L001" "17nine_209_Phys_346_231_S20_L001" "17nine_210_Lych_334_243_S21_L001" "17nine_211_Apol_322_255_S22_L001" "17nine_212_Fril_310_267_S23_L001" "17nine_213_Fors_298_279_S24_L001" "17nine_214_Lych_381_196_S25_L001" "17nine_215_Agal_369_208_S26_L001" "17nine_216_Diph_357_220_S27_L001" "17nine_217_Diph_345_232_S28_L001" "17nine_218_Diph_333_244_S29_L001" "17nine_219_Diph_321_256_S30_L001" "17nine_220_Cord_309_268_S31_L001" "17nine_221_Diph_297_280_S32_L001" "17nine_222_Gymn_380_197_S33_L001" "17nine_223_Cras_368_209_S34_L001" "17nine_224_Barg_356_221_S35_L001" "17nine_225_Nano_344_233_S36_L001" "17nine_226_Desm_332_245_S37_L001" "17nine_229_Chun_320_257_S38_L001" "17nine_230_Lych_308_269_S39_L001" "17nine_231_Fors_296_281_S40_L001" "17nine_232_Barg_379_198_S41_L001" "17nine_237_Chun_367_210_S42_L001" "17nine_238_Gymn_355_222_S43_L001" "17nine_239_Barg_343_234_S44_L001" "17nine_240_Chun_331_246_S45_L001"
"Eukaryota_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_Massisteria marina_Massisteria marina_NA_100.00" "32ce7ee1c2367640729acf129c289531" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_Massisteria marina_Massisteria marina_NA_100.00" "24abe3ee94e072715c15e7f613bc1e58" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ctenophora_Tentaculata_Lobata_Bolinopsidae__100_162.00_ 73.41" "cccfcaf9dc2f583234a1ff1ca47188bd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__96.35_138_86.41___NA_NA" "7f082e68391f98b12e386eea23058c0e" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__97.59_122_89.91_NA_NA" "9fbcfd53b5a74be64e2040dfa9bae4fa" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ctenophora_Tentaculata_Lobata_Bolinopsidae__100_162.00_ 73.41" "e64a777956304d5de0147e5cb3b74ea1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__97.5_117_89.87_NA_NA" "bf447333b5050225cd5ac30a2204b41b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_195_92.10_NA_NA" "3c5961fd41fecb51b179ee7ff71861ba" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_134_91.44_NA_NA" "140b2722157b13f36694df86faf5597b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__88.41_164_86.11___NA_NA" "eeb274d2babaf128eaea51c0cfc9317c" "0" "0" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa_Cercomonadida_Cercomonadidae__94.62_139_ 88.48_NA" "0931df171cb5182351c764a1d48d9d80" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0"
"Eukaryota_Bacillariophyta_Bacillariophyceae__92.26_168_86.26_NA_NA" "c81e473d2628974b8f9879383b14fa6a" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales_Chromulinaceae__95.81_125.00_ 70.18" "b1f838dba29e9bdc38b5588d5b22633c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__90.91_165_88.40___NA_NA" "287c752157a60714b79644b0d342c2c5" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
