"OTU" "Feature_name" "272_108_Diphyes_384_193_S1_L001" "272_109_Apolemia_372_205_S2_L001" "272_110_Vogtia_360_217_S3_L001" "272_111_Forskalia_348_229_S4_L001" "272_112_Forskalia_336_241_S5_L001" "272_113_Chuniphyes_324_253_S6_L001" "272_114_Nanomia_312_265_S7_L001" "272_115_Nanomia_300_277_S8_L001" "272_116_Nanomia_383_194_S9_L001" "272_117_Sphaeronectes_371_206_S10_L001" "272_118_Muggiaea_359_218_S11_L001" "272_119_Muggiaea_347_230_S12_L001" "272_120_Muggiaea_335_242_S13_L001" "272_121_Muggiaea_323_254_S14_L001" "272_122_Nanomia_311_266_S15_L001" "272_123_Diphyes_299_278_S16_L001" "272_124_Nanomia_382_195_S17_L001" "272_125_Nanomia_370_207_S18_L001" "272_126_Nanomia_358_219_S19_L001" "272_127_Sphaeronectes_346_231_S20_L001" "272_128_Sphaeronectes_334_243_S21_L001" "272_129_Sphaeronectes_322_255_S22_L001" "272_130_Sphaeronectes_310_267_S23_L001" "272_131_Sphaeronectes_298_279_S24_L001" "272_132_Sphaeronectes_381_196_S25_L001" "272_133_Nanomia_369_208_S26_L001" "272_134_Sphaeronectes_357_220_S27_L001" "272_135_Sphaeronectes_345_232_S28_L001" "272_136_Sphaeronectes_333_244_S29_L001" "272_137_Diphyes_321_256_S30_L001" "272_138_Diphyes_309_268_S31_L001" "272_139_Nanomia_297_280_S32_L001" "272_140_Nanomia_380_197_S33_L001" "272_141_Nanomia_368_209_S34_L001" "272_142_Muggiaea_356_221_S35_L001" "272_143_Nanomia_344_233_S36_L001" "272_159_Physalia_332_245_S37_L001" "272_160_Physalia_320_257_S38_L001" "272_162_Physalia_308_269_S39_L001" "272_165_Physalia_296_281_S40_L001" "272_166_Physalia_379_198_S41_L001" "272_167_Physalia_367_210_S42_L001" "272_169_Physalia_355_222_S43_L001" "272_170_Physalia_343_234_S44_L001" "272_171_Physalia_331_246_S45_L001"
"Eukaryota_Fungi_Dikarya_Ascomycota_Pezizomycotina_Eurotiomycetes_Chaetothyriomycetidae_Chaetothyriales_Herpotrichiellaceae__99.21_252_92.23" "43ccfe07c42262b2bf5809b4df2097d3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "12"
"Eukaryota__97.8_227_91.14________" "9e687352c3165577cb471d6b299e2567" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "27" "0"
"Eukaryota_Viridiplantae_Chlorophyta__99.21_252_91.78______" "5db56ab4c8eced55a10420d0bb2129f5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "27"
"Eukaryota__100_231_91.94________" "4774b80baa0ec4fbebfc791542635684" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25"
"Eukaryota_Metazoa_Ecdysozoa_Nematoda_Chromadorea_Rhabditida_Rhabditoidea_Diplogastridae_Acrostichus__97.61_251_72.83" "17927338a4359d6041e1ce17a51875c2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea_Azygiida_Hemiuroidea_Hemiuridae__98.81_253_73.44_" "27988da6b62b444e389033c83484a73f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0"
"Eukaryota_Fungi_environmental samples_uncultured fungus__99.21_252_92.23_____" "eec649660f3677e698276da3cf6a1543" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__96.05_253_90.63________" "810b68268d73b4eb4634686c08161c5e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Litostomatea__97.57_247_72.82____" "106eb2114b29a915e556c529c2bb26f3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.41_252_91.79________" "e2c1ea22d54a8854145451b71f5bd94d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0"
"Eukaryota__99.37_220_91.80________" "c3582e584ca95487a520d0c1570bf307" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.35_188_91.37________" "9f23229c4048b69174908bf3a5be6c18" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Unknown Eukaryote_N/A_ N/A_N/A________" "8d28843a1c4453527675fa50a8a9d896" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__94.63_205_86.90________" "838a486ee544d8619e18c18f59539bc9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0"
"Eukaryota_Metazoa_Ecdysozoa_Nematoda_Chromadorea_Rhabditida_Rhabditoidea_Diplogastridae_Acrostichus__97.61_251_72.83" "9b382ae55e51e130d1fc5352e8d359f3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.21_253_92.24______" "20b748980ce6434f17dc8c71edc80740" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_230_91.98________" "c10fc976e35796d515df4011a5c406d9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10"
"Eukaryota_environmental samples_uncultured eukaryote__99.21_253_92.24______" "5b46df8ac614da2835b7b8d324705c72" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.05_210_91.74______" "8ed08c8f423a528acbaadb44c8008e7c" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__98.44_208_91.43______" "4321b456c07f9b6b5537a9defe2e4c8f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.16_222_91.64________" "30346951efe187955698f8dfe5e16945" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
