"OTU" "Feature_name" "179_300Apole_091_102_S1_L001" "179_304Crase_079_114_S2_L001" "179_305Crase_067_126_S3_L001" "179_309Forsk_055_138_S4_L001" "179_310Gymno_043_150_S5_L001" "179_311Lychn_031_162_S6_L001" "179_313Marru_019_174_S7_L001" "179_314Praya_007_186_S8_L001" "179_315Resom_090_103_S9_L001" "179_316Resom_078_115_S10_L001" "179_317Vogti_066_127_S11_L001" "179_319Frill_054_139_S12_L001" "179_320Forsk_042_151_S13_L001"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndinium_uncultured eukaryote_uncultured eukaryote_NA_ 98.15_162.00_72.04" "1b8c215e2c45f70ba961cadaf0b68c8e" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 98.75_160.00_90.76" "f67132ea715e8f8d33a51a0701a71cf8" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__91.85_184_86.57__NA_NA_NA_NA" "d0e3cabd755e04e56f9fc03e36780cd2" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 90.91_ 88.00_ 85.42_NA" "c83463e2c213175fb88f8930b85d452a" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Spirotrichea_Choreotrichia__99.38_161.00_ 90.37_NA_NA" "b7e74d5af39d60ed9aa97d28ca12a423" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0" "0"
"Eukaryota_Bilateria_Protostomia__98.14_161_90.37_NA_NA_NA_NA" "a37d7d4874f7bc00c313230af82cd799" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Basidiomycota_Ustilaginomycotina_Malasseziales_Malasseziaceae_Malassezia_uncultured fungus_NA_100.00_164.00_73.42" "5d2aa733b6c19267f660edb3c97db885" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0" "0"
"Eukaryota_SAR_Ochrophyta_Sarcinochrysidales__97.01_167_ 90.09_NA_NA_NA" "1583b89462dffa2f64af966bf5af9197" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0"
"Eukaryota_Bilateria__92.93_184_87.29__NA_NA_NA_NA" "f9d1547a5415d939657c0b4dacca756a" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.91_162.00_ 72.09_NA_NA" "cb81d6990ed69b3988d1c8198c299047" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0"
"Eukaryota_Dinoflagellata_Dinophyceae_Gonyaulacales__94.4_94_ 70.69_NA_NA_NA" "733302b516afc6857eeb982cc4006a0f" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 90.48_159.00_ 85.48_NA" "2f6355534a47301c7ab3cab5fb6ee8d7" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured marine eukaryote_uncultured marine eukaryote_NA_ 95.56_ 90.00_70.95" "e8f11d0464dc079d577d69b07db10991" "0" "0" "0" "0" "0" "0" "0" "15" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__86.11_180_82.33__NA_NA_NA_NA" "e298b1eaf8e7ae2a4c3968fdd9437bf0" "0" "0" "0" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__87.98_183_83.79__NA_NA_NA_NA" "c33314bf250bde3e499f49b6f651ee21" "0" "0" "0" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Blastocladiomycota_Incertae Sedis_Blastocladiales__92.44_172_ 87.07_NA_NA_NA" "b04294ad2599dbc4ab717bfcc8271aef" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_ 99.38_162.00_91.44" "00ee6591ccf8b63b16a036cece0575e0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "8"
"Eukaryota__95.06_162_89.05___NA_NA_NA_NA" "9daa4c6894f6bd768419af48ab40e57f" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 85.87_184.00_ 82.18_NA" "94906a03b799af4d13e0ab61f110de3b" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_163_91.77___NA_NA_NA_NA" "439d8d9f352c9b43b55f07fce60a4ef4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__95.06_162.00_ 71.24_NA_NA" "007ee7191944e09e8d6224f1ad6607af" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria__98.34_122_90.17__NA_NA_NA_NA" "b26ff60585b6ce320d3f4539d07e922d" "0" "0" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0"
"Eukaryota__92.07_164_86.65___NA_NA_NA_NA" "aa0ff83c24afd09a1c32a61fb6147f22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Aphelidea__ 98.78_164.00_ 72.05_NA" "2c5920f0661747cb0fd7584ccb88a211" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8" "0" "5"
"Eukaryota_Bilateria__87.98_183_83.79__NA_NA_NA_NA" "f9bab79213e3017292ca29074e71c46c" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Spirotrichea_Choreotrichia__99.38_161.00_ 90.37_NA_NA" "b5f31295ff61b948d0a05985b48540c1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0"
"Eukaryota_Bilateria__99.41_169_90.83__NA_NA_NA_NA" "a18aefb5ad0ed020646c6de90e28d5a6" "0" "0" "0" "0" "0" "0" "0" "0" "8" "4" "0" "0" "0"
