"OTU" "Feature_name" "272_300Apole_091_102_S1_L001" "272_304Crase_079_114_S2_L001" "272_305Crase_067_126_S3_L001" "272_309Forsk_055_138_S4_L001" "272_310Gymno_043_150_S5_L001" "272_311Lychn_031_162_S6_L001" "272_313Marru_019_174_S7_L001" "272_314Praya_007_186_S8_L001" "272_315Resom_090_103_S9_L001" "272_316Resom_078_115_S10_L001" "272_317Vogti_066_127_S11_L001" "272_319Frill_054_139_S12_L001" "272_320Forsk_042_151_S13_L001"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea__86.78_227" "25b90c5975e43076d9847c04027cf3b9" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Rhizaria_Cercozoa__99.2_251_91.54_____" "98e871bd84ae0af5e59fecf05d628e1a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Chelicerata_Arachnida_Acari_Acariformes_Trombidiformes_Prostigmata_Eleutherengona_Raphignathae" "4f8ef0e45f296bfad5d8df524ae3a1af" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__94.68_259_89.39_____" "47dac8f09ec6d0d31ce6d43177016815" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0"
"Eukaryota__94.63_205_86.90_______" "838a486ee544d8619e18c18f59539bc9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21"
"Eukaryota_Metazoa_Cnidaria_Scyphozoa_Coronatae__99.6_251_73.94___" "7d242316ffb324b961e5c49e3a9f9229" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0"
"Eukaryota__99.03_207_88.13_______" "3d1fe9b24e7e86fb9921859cc9e56a02" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0"
"Eukaryota_environmental samples__99.57_231_73.78______" "1fb70eb5df7ad0dc2289ec9096f99f6a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "20"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__98.99" "eb59ab84f76fb13676e8c052f8e7fbe5" "0" "0" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.21_252_92.05_____" "ba3753fd755fe0fa0abffc098231a2ab" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Endopterygota_Coleoptera_Adephaga_Caraboidea" "d83ec04f7fda138c8df62b43f316abef" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0"
"Eukaryota__99.07_143_90.94_______" "cae042d34936dfe80b640a6a18b896dd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea__86.78_227" "8de5a31f00b90cbad9abf7c02f81d569" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.21_254_92.21_______" "3ee00ec24301598de617d4f241a26b7d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0"
"Eukaryota__92.52_254_89.06_______" "d0dad6e688f478484de23a3bb2baf6a1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Endopterygota_Coleoptera_Adephaga_Caraboidea" "9925db510bb09713898cc66a7476af97" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0"
"Eukaryota__99.21_252_92.23_______" "1e4f06c2905962ad8e32ae70679eb34f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0"
"Eukaryota_Metazoa_Lophotrochozoa__96.44_253_72.48_____" "fbde491c8cb7410c475edc0f7eea3e26" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.2_250_73.76_____" "793e70b2099e03ab395e6e6b437e89c6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15" "0"
"Eukaryota_environmental samples_uncultured eukaryote__94.79_208_89.46_____" "ba8eb616f9c3eb71f2e5d51331d9ef43" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples__96.98_232_72.84______" "cf0163c7459a540f11c981fc68817c72" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__98.81_252_92.01_____" "8790cc01a4e14b0b7b0784471cab6dee" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9" "4"
"Eukaryota_Alveolata_Dinophyceae_environmental samples_uncultured dinoflagellate__99.2_251_73.64___" "2b7fcc74c312ed5831e7365508fec468" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13"
"Eukaryota_environmental samples_uncultured eukaryote__98.81_252_92.01_____" "226ce9ee943ede180fad03e5fb862897" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13" "0"
